"X10000","X20000","X30000"
"1",266,132,275
"2",185,58,298
"3",366,135,131
"4",435,290,279
"5",112,153,357
"6",49,214,421
"7",101,203,364
"8",140,406,329
"9",433,191,427
"10",260,162,152
"11",290,320,314
"12",406,104,208
"13",431,221,178
"14",382,149,187
"15",330,297,182
"16",118,431,150
"17",415,205,294
"18",257,382,197
"19",243,212,465
"20",86,310,321
"21",458,54,88
"22",30,199,193
"23",273,444,159
"24",232,286,388
"25",410,369,432
"26",235,235,438
"27",286,410,311
"28",369,232,128
"29",444,30,119
"30",199,273,418
"31",54,458,251
"32",310,86,392
"33",212,243,272
"34",205,415,348
"35",297,118,244
"36",149,330,375
"37",221,257,268
"38",104,260,219
"39",320,433,158
"40",162,140,31
"41",191,101,176
"42",203,49,34
"43",214,112,471
"44",153,435,78
"45",135,378,398
"46",58,1,430
"47",132,328,323
"48",378,183,269
"49",1,289,71
"50",328,359,220
"51",183,374,160
"52",289,173,106
"53",359,379,280
"54",374,334,145
"55",173,342,449
"56",379,241,445
"57",334,420,121
"58",342,455,45
"59",241,2,85
"60",420,130,233
"61",455,474,341
"62",2,339,94
"63",130,366,116
"64",474,185,416
"65",339,266,189
"66",424,424,291
"67",10,10,111
"68",425,425,41
"69",76,76,240
"70",340,340,225
"71",367,367,67
"72",99,99,293
"73",263,263,261
"74",66,66,309
"75",350,350,62
"76",252,252,360
"77",83,83,105
"78",384,384,247
"79",271,271,383
"80",24,24,11
"81",77,77,154
"82",473,473,429
"83",42,42,413
"84",385,385,255
"85",43,43,428
"86",168,168,461
"87",123,123,405
"88",236,236,417
"89",32,32,40
"90",92,92,308
"91",55,55,332
"92",230,230,288
"93",253,253,390
"94",171,171,22
"95",439,439,373
"96",35,35,346
"97",138,138,122
"98",180,180,120
"99",84,84,300
"100",409,409,161
"101",25,25,387
"102",380,380,204
"103",190,190,381
"104",459,459,477
"105",345,345,139
"106",136,136,60
"107",284,284,436
"108",304,304,259
"109",355,355,466
"110",285,285,303
"111",95,95,478
"112",305,305,262
"113",361,361,250
"114",82,82,56
"115",343,343,167
"116",64,64,13
"117",186,186,70
"118",198,198,352
"119",90,90,18
"120",469,469,169
"121",69,69,426
"122",52,52,326
"123",226,226,325
"124",333,333,81
"125",264,453,202
"126",337,201,278
"127",141,408,475
"128",408,141,91
"129",201,264,115
"130",453,337,124
"131",376,451,358
"132",194,93,213
"133",396,110,26
"134",166,36,237
"135",97,391,96
"136",370,319,389
"137",142,46,137
"138",349,14,16
"139",351,175,281
"140",102,89,411
"141",98,59,177
"142",89,98,356
"143",59,102,238
"144",451,351,258
"145",93,349,463
"146",110,142,395
"147",36,370,20
"148",391,97,335
"149",319,166,218
"150",46,396,460
"151",14,194,103
"152",175,376,127
"153",133,133,37
"154",87,87,195
"155",354,354,44
"156",419,419,302
"157",129,164,393
"158",267,315,327
"159",315,267,368
"160",164,129,157
"161",277,277,414
"162",317,317,196
"163",307,307,403
"164",407,407,296
"165",422,422,61
"166",228,228,33
"167",3,3,9
"168",306,306,29
"169",206,447,216
"170",447,206,47
"171",7,322,17
"172",316,316,362
"173",322,7,179
"174",397,397,353
"175",246,246,210
"176",12,12,207
"177",53,53,227
"178",372,372,223
"179",318,318,394
"180",234,234,184
"181",146,146,440
"182",50,50,23
