"X33333","X66667","X1e.05"
"1",345,952,392
"2",318,392,952
"3",413,883,883
"4",745,138,138
"5",938,379,379
"6",881,250,437
"7",291,398,528
"8",308,459,738
"9",748,738,459
"10",315,528,398
"11",726,437,250
"12",835,866,866
"13",28,21,21
"14",265,767,767
"15",436,177,177
"16",24,656,656
"17",692,342,342
"18",867,934,934
"19",655,112,112
"20",783,175,175
"21",95,842,842
"22",930,542,542
"23",14,292,292
"24",71,0,0
"25",460,209,209
"26",335,195,135
"27",340,135,195
"28",241,471,471
"29",66,775,775
"30",128,445,445
"31",959,675,675
"32",931,821,821
"33",853,854,854
"34",778,347,347
"35",564,259,259
"36",720,877,877
"37",873,370,370
"38",260,468,468
"39",73,243,243
"40",885,836,836
"41",619,368,368
"42",754,286,286
"43",517,689,689
"44",49,181,181
"45",725,109,109
"46",494,780,780
"47",912,702,702
"48",838,718,718
"49",490,435,435
"50",357,832,832
"51",684,311,64
"52",434,64,311
"53",571,609,609
"54",951,590,590
"55",728,228,228
"56",320,551,551
"57",170,118,242
"58",497,366,553
"59",394,408,408
"60",752,553,366
"61",887,242,118
"62",91,229,229
"63",35,77,77
"64",919,287,287
"65",917,698,698
"66",163,583,583
"67",807,641,641
"68",941,6,6
"69",420,645,645
"70",261,477,477
"71",506,212,212
"72",2,160,160
"73",491,171,171
"74",719,788,788
"75",34,945,945
"76",697,870,870
"77",558,336,336
"78",889,737,737
"79",578,514,514
"80",346,765,765
"81",529,455,455
"82",567,550,550
"83",350,740,740
"84",509,97,97
"85",97,509,509
"86",740,350,350
"87",550,567,567
"88",455,918,918
"89",765,376,376
"90",514,377,377
"91",737,742,742
"92",336,615,615
"93",870,378,378
"94",945,661,661
"95",788,385,385
"96",171,126,126
"97",160,429,429
"98",212,321,321
"99",477,202,202
"100",645,560,878
"101",6,662,662
"102",641,878,560
"103",583,703,703
"104",698,512,512
"105",287,676,676
"106",77,884,884
"107",229,810,810
"108",242,152,152
"109",553,251,251
"110",408,68,68
"111",366,219,939
"112",118,939,219
"113",680,630,630
"114",427,92,92
"115",642,475,198
"116",647,100,475
"117",671,198,100
"118",587,371,371
"119",141,510,510
"120",716,325,325
"121",739,523,523
"122",215,508,508
"123",862,373,373
"124",161,670,670
"125",374,646,646
"126",300,658,658
"127",764,529,529
"128",96,346,346
"129",405,578,578
"130",715,889,889
"131",579,558,558
"132",107,163,941
"133",358,807,420
"134",319,887,697
"135",786,752,34
"136",407,394,719
"137",813,497,491
"138",627,170,2
"139",539,91,261
"140",503,320,506
"141",192,728,725
"142",818,951,49
"143",847,571,517
"144",289,434,754
"145",865,684,619
"146",316,357,885
"147",651,490,73
"148",859,838,260
"149",827,912,873
"150",142,494,720
"151",607,938,564
"152",596,881,778
"153",916,291,853
"154",549,308,931
"155",410,748,959
"156",188,315,128
"157",323,726,66
"158",954,835,71
"159",955,28,14
"160",156,265,930
"161",352,436,95
"162",114,24,783
"163",606,692,655
"164",72,867,460
"165",492,335,335
"166",362,340,340
"167",769,241,241
"168",794,460,867
"169",331,655,692
"170",633,783,24
"171",795,95,436
"172",180,930,265
"173",74,14,28
"174",217,71,835
"175",189,66,726
"176",22,128,315
"177",694,959,748
"178",691,931,308
"179",438,853,291
"180",89,778,881
"181",465,564,938
"182",660,720,494
"183",563,873,912
"184",766,260,838
"185",185,73,490
"186",101,885,357
"187",158,619,684
"188",117,754,434
"189",734,517,571
"190",36,49,951
"191",829,725,728
"192",227,506,320
"193",906,261,91
"194",750,2,170
"195",294,491,497
"196",41,719,394
"197",937,34,752
"198",572,697,887
"199",933,420,163
"200",120,941,807
"201",93,61,917
"202",545,953,919
"203",861,48,35
"204",714,190,52
"205",372,401,3
"206",700,102,297
"207",600,591,51
"208",224,45,279
"209",685,270,344
"210",777,58,914
"211",199,679,450
"212",707,634,262
"213",706,361,476
"214",895,868,612
"215",200,42,105
"216",580,909,713
"217",898,524,798
"218",869,360,787
"219",282,957,844
"220",354,55,365
"221",623,489,422
"222",247,29,98
"223",595,534,206
"224",317,166,929
"225",63,599,271
"226",686,942,864
"227",404,824,845
"228",234,430,875
"229",791,683,146
"230",948,732,831
"231",214,470,602
"232",554,502,196
"233",621,140,333
"234",501,351,148
"235",314,129,423
"236",848,693,83
"237",681,451,151
"238",799,428,187
"239",193,837,663
"240",85,499,515
"241",521,390,203
"242",901,255,638
"243",453,70,130
"244",860,396,94
"245",110,23,816
"246",220,924,221
"247",153,478,369
"248",484,276,535
"249",744,104,496
"250",666,643,75
"251",648,474,823
"252",516,731,910
"253",293,132,762
"254",849,81,269
"255",145,383,500
"256",925,749,326
"257",382,182,522
"258",537,723,935
"259",792,275,296
"260",879,201,635
"261",629,19,310
"262",622,381,730
"263",575,364,309
"264",307,628,843
"265",295,67,710
"266",32,144,717
"267",620,18,443
"268",154,106,197
"269",395,624,39
"270",577,384,305
"271",943,302,33
"272",86,527,667
"273",26,956,637
"274",348,779,411
"275",846,674,724
"276",803,872,507
"277",167,176,38
"278",785,704,125
"279",626,327,184
"280",449,747,322
"281",1,461,47
"282",897,495,570
"283",722,27,486
"284",244,613,585
"285",828,338,412
"286",555,211,793
"287",573,415,432
"288",298,367,16
"289",273,444,820
"290",701,940,625
"291",533,349,772
"292",721,729,911
"293",632,520,46
"294",103,841,216
"295",84,341,59
"296",594,233,399
"297",391,917,812
"298",87,919,80
"299",353,35,447
"300",640,52,116
"301",179,3,727
"302",908,297,782
"303",851,51,40
"304",920,279,457
"305",695,344,222
"306",386,914,913
"307",79,450,899
"308",82,262,582
"309",588,476,932
"310",205,612,332
"311",540,105,857
"312",915,713,416
"313",248,798,218
"314",699,787,896
"315",927,844,654
"316",164,365,62
"317",266,422,817
"318",773,98,677
"319",480,206,569
"320",636,929,696
"321",760,271,239
"322",856,864,565
"323",431,845,763
"324",526,875,50
"325",481,146,121
"326",664,831,784
"327",650,602,586
"328",493,196,504
"329",776,333,235
"330",814,148,283
"331",757,423,819
"332",753,83,400
"333",25,151,60
"334",324,187,855
"335",808,313,194
"336",863,536,774
"337",525,663,833
"338",10,515,458
"339",111,203,559
"340",653,638,498
"341",90,130,593
"342",815,488,800
"343",88,30,267
"344",186,597,834
"345",277,231,532
"346",232,822,108
"347",303,257,207
"348",137,240,557
"349",736,826,223
"350",519,426,122
"351",644,850,150
"352",17,511,790
"353",253,463,566
"354",15,892,921
"355",147,337,334
"356",598,448,556
"357",417,65,561
"358",441,37,584
"359",796,876,56
"360",903,538,705
"361",221,708,904
"362",535,797,505
"363",496,562,183
"364",75,406,711
"365",823,442,4
"366",910,531,312
"367",269,610,871
"368",762,143,547
"369",500,616,801
"370",326,905,568
"371",522,947,907
"372",935,446,592
"373",296,115,781
"374",635,605,5
"375",310,639,949
"376",730,806,76
"377",309,285,306
"378",843,485,900
"379",710,136,7
"380",717,574,771
"381",197,403,809
"382",443,751,418
"383",39,249,245
"384",305,789,755
"385",268,329,452
"386",258,149,124
"387",518,473,880
"388",172,409,852
"389",421,439,466
"390",173,168,804
"391",902,825,397
"392",614,487,652
"393",926,139,380
"394",456,155,479
"395",469,618,178
"396",922,581,923
"397",467,682,280
"398",440,601,99
"399",57,53,133
"400",414,343,13
"401",631,356,687
"402",603,402,530
"403",131,208,746
"404",759,665,482
"405",375,238,743
"406",246,659,668
"407",225,673,733
"408",657,688,387
"409",950,134,617
"410",162,328,165
"411",768,159,304
"412",213,735,157
"413",54,330,389
"414",127,894,226
"415",888,393,388
"416",840,12,936
"417",274,210,299
"418",37,649,944
"419",779,576,608
"420",674,264,318
"421",872,874,345
"422",956,425,413
"423",527,858,745
"424",302,544,236
"425",61,169,589
"426",953,839,805
"427",190,802,359
"428",48,462,672
"429",401,513,254
"430",102,284,761
"431",591,761,284
"432",45,254,513
"433",270,672,462
"434",58,359,802
"435",679,805,839
"436",634,589,169
"437",361,236,544
